author,year,title,format
Agence Régionale Pour l’Environnement (Midi-Pyrénées), 2002 ?, En Midi-Pyrénées : La régression des glaciers pyrénéens, 1 panneau 60*100cm.
Fédération Nationale des Foyer Ruraux, 2003, Les leçons de choses – l’art et la science, document d’accompagnement d’une exposition.
Association Moraine, 2003, Le glacier d’Ossoue sous haute surveillance, 1 panneau 60*80cm.
Association Moraine, 2004, Les glaciers du Luchonnais, 1 panneau 60*80cm.
Greenpeace, 2004 ?, L’impact du réchauffement climatique sur les glaciers, document d’accompagnement d’une exposition.
Association Moraine, 2007, Les glaciers des Pyrénées, 1 panneau 60*80cm.
Association Moraine, 2007, 150 ans après, le glacier de la Maladeta, 1 panneau 60*80cm.
Association Moraine, 2007, Le glacier du Seil de la Baque, 1 panneau 60*25cm.
ONERC, 2007, Le réchauffement climatique : la montagne, 1 panneau qui contient des illustrations du glacier d’Ossoue.
Agence Régionale Pour l’Environnement (Midi-Pyrénées), 2009, Le climat, données techniques et témoignage.
Association Moraine, 2012, Glacier des Pyrénées, le réchauffement climatique en photos, exposition photos composée de 20 diptyques + commentaires.
Association Moraine, 2014, Le suivi du glacier d'Ossoue (Vignemale), 1 panneau 120*80cm.
"GEODE, CESBIO, Association Moraine", 2015, Les glaciers des Pyrénées en 1850 et 2011 : un inventaire transfrontalier, 1 panneau 40*80cm.
