chaine,year,title
France 3 Occitanie, 21-01-2020,"Glaciers des Pyrénées, Journal 19h, 1’50."
France 2, 25-09-2019,"Réchauffement climatique : les glaciers des Pyrénées en voie de disparition, Journal 13h, 2’20."
France 3 Occitanie, 01-07-2019,"L’inexorable fonte, Journal 19h, 2’30."
France 3 Occitanie, 13-11-2018,"Bilan des glaciers 2018, Journal 19h, 2’."
France 3 Occitanie, 21-09-2018,"Journée CLIMPY à MétéoFrance, Journal 19h, 2’."
France 3 Sud, 27-02-2015,"Quel avenir pour les stations de ski pyrénéennes ? Enquête de région, 51’."
EITB (Euskal Irrati Telebista), 24-09-14,"El glaciar de Monte Perdido en peligro de extincion, 2’06."
TF1, 20-10-13,"Glacier d’Arcouzan, Journal 13h, 11’."
France 3 Sud, 10-10-2012,"Expédition au glacier d’Arcouzan (09), Journaux 12h et 18h, 3’."
France 2, 25-09-2012,"Climat, les Pyrénées sans glacier, Journal 20h, 3’30."
France 3 Sud, 09-12-2011,"Climat, Journal 19h, 2’."
TF1, 03-12-2011,"Les glaciers pyrénéens en voie de disparition, Journal 20h, 2’."
France 3 Sud, 04-10-2011,"Eugène Trutat et les glaciers, Journal 13h, 2’."
France 2, 14-01-2011,"Glaciers et réchauffement climatique, Journal 13h, 2’30."
France 3 Sud, 10-07-2010,"Implantation d’une balise au glacier d’Ossoue, Journal 13h, 2’."
LCI, 08-12-2009,"Interview à domicile, Journal de 7h, 1’30."
France 3 Sud, 07-12-2009,"Interview à domicile, Journal 19/20, 2’."
France 3 Sud, 19-09-2009,"La sentinelle des glaciers, Emission Passages n°152, 13’."
France 5, 09-2008,"Glaciers des Oulettes et du Petit Vignemale, C dans l’air, 4’30."
France 2, 08-2008,"Glaciers des Oulettes et du Petit Vignemale, Télématin, 3’."
Film Concept Associés, 2005,"Sentinelles de la Nature, Collection Ushuaia TV, 52’ (dont 8’ sur les glaciers pyrénéens)."
France 3 Sud, 08-2005,"Conférence + Implantation balises glacier d’Ossoue, 2’30."
France 3 Sud, 09-2004,"Interview en studio, 7’."
France 3 Sud, 09-2004,"Glacier d’Ossoue, 2’30."
France 3 Sud, 06-2003,"Carottages au glacier d’Ossoue, 2’30."
